id,key,value,type
10096731,name,South 300 West,regular
10096731,highway,residential,regular
10096731,cfcc,A41,tiger
10096731,county,"Davis, UT",tiger
10096731,reviewed,no,tiger
10096731,name_base,300,tiger
10096731,name_direction_prefix,S,tiger
10096731,name_direction_suffix,W,tiger
10096824,ref,UT 106,regular
10096824,name,South 200 East,regular
10096824,highway,secondary,regular
10096824,old_ref,SR 1,regular
10096824,cfcc,A31,tiger
10096824,county,"Davis, UT",tiger
10096824,reviewed,no,tiger
10096824,name_base,200,tiger
10096824,name_base_1,State Highway 106,tiger
10096824,name_direction_prefix,S,tiger
10096824,name_direction_suffix,E,tiger
10096927,name,West Stampede Drive North,regular
10096927,highway,residential,regular
10096927,cfcc,A41,tiger
10096927,county,"Davis, UT",tiger
10096927,reviewed,no,tiger
10096927,name_base,Stampede,tiger
10096927,name_type,Dr,tiger
10096927,name_direction_prefix,W,tiger
10096927,name_direction_suffix,N,tiger
10096981,name,North 350 West,regular
10096981,highway,residential,regular
10096981,cfcc,A41,tiger
10096981,county,"Davis, UT",tiger
10096981,reviewed,no,tiger
10096981,name_base,350,tiger
10096981,name_direction_prefix,N,tiger
10096981,name_direction_suffix,W,tiger
10097101,name,County Way,regular
10097101,highway,residential,regular
10097101,cfcc,A41,tiger
10097101,county,"Davis, UT",tiger
10097101,reviewed,no,tiger
10097101,name_base,County,tiger
10097101,name_type,Way,tiger
10097188,name,Taylor Way,regular
10097188,name_1,200,regular
10097188,highway,residential,regular
10097188,cfcc,A41,tiger
10097188,county,"Davis, UT",tiger
10097188,reviewed,no,tiger
10097188,name_base,Taylor,tiger
10097188,name_type,Way,tiger
10097188,name_base_1,200,tiger
10097294,name,South 600 West,regular
10097294,highway,service,regular
10097294,cfcc,A41,tiger
10097294,county,"Davis, UT",tiger
10097294,reviewed,no,tiger
10097294,name_base,600,tiger
10097294,name_direction_prefix,S,tiger
10097294,name_direction_suffix,W,tiger
10097404,name,West 930 North,regular
10097404,highway,residential,regular
10097404,cfcc,A41,tiger
10097404,county,"Davis, UT",tiger
10097404,reviewed,no,tiger
10097404,name_base,930,tiger
10097404,name_direction_suffix,N,tiger
10097530,name,South Glen Street West,regular
10097530,name_1,South 25 West,regular
10097530,highway,residential,regular
10097530,cfcc,A41,tiger
10097530,county,"Davis, UT",tiger
10097530,reviewed,no,tiger
10097530,name_base,Glen,tiger
10097530,name_type,St,tiger
10097530,name_base_1,25,tiger
10097530,name_direction_prefix,S,tiger
10097530,name_direction_suffix,W,tiger
10097530,name_direction_prefix_1,S,tiger
10097530,name_direction_suffix_1,W,tiger
10097658,name,North Oakleaf Lane East,regular
10097658,name_1,East 225 North,regular
10097658,highway,residential,regular
10097658,cfcc,A41,tiger
10097658,county,"Davis, UT",tiger
10097658,reviewed,no,tiger
10097658,name_base,Oakleaf,tiger
10097658,name_type,Ln,tiger
10097658,name_base_1,225,tiger
10097658,name_direction_prefix,N,tiger
10097658,name_direction_suffix,E,tiger
10097658,name_direction_prefix_1,E,tiger
10097658,name_direction_suffix_1,N,tiger
10097739,name,North Willowbrook Drive West,regular
10097739,name_1,900,regular
10097739,highway,residential,regular
10097739,cfcc,A41,tiger
10097739,county,"Davis, UT",tiger
10097739,reviewed,no,tiger
10097739,name_base,Willowbrook,tiger
10097739,name_type,Dr,tiger
10097739,name_base_1,900,tiger
10097739,name_direction_prefix,N,tiger
10097739,name_direction_suffix,W,tiger
10097926,name,South 1020 West,regular
10097926,highway,residential,regular
10097926,cfcc,A41,tiger
10097926,county,"Davis, UT",tiger
10097926,reviewed,no,tiger
10097926,name_base,1020,tiger
10097926,name_direction_prefix,S,tiger
10097926,name_direction_suffix,W,tiger
10098039,name,Orchard Place,regular
10098039,name_1,2300,regular
10098039,highway,residential,regular
10098039,cfcc,A41,tiger
10098039,county,"Davis, UT",tiger
10098039,reviewed,no,tiger
10098039,name_base,Orchard,tiger
10098039,name_type,Pl,tiger
10098039,name_base_1,2300,tiger
10098112,name,West 350 South,regular
10098112,highway,residential,regular
10098112,cfcc,A41,tiger
10098112,county,"Davis, UT",tiger
10098112,reviewed,no,tiger
10098112,name_base,350,tiger
10098112,name_direction_prefix,W,tiger
10098112,name_direction_suffix,S,tiger
10098211,name,Adams Circle,regular
10098211,name_1,1050,regular
10098211,highway,residential,regular
10098211,cfcc,A41,tiger
10098211,county,"Davis, UT",tiger
10098211,reviewed,no,tiger
